iter	RMSE
0	494168.8181
1	462669.6624
2	433267.7756
3	407932.5574
4	384635.4042
5	362096.3211
6	342020.5959
7	325452.9501
8	310036.3237
9	295581.8097
10	281783.6643
11	270293.7186
12	259331.9093
13	249294.036
14	240855.5793
15	231887.3433
16	224279.7374
17	216915.9959
18	210003.2138
19	203872.4339
20	198443.5071
21	193729.963
22	188703.8067
23	185269.9495
24	182291.0852
25	179092.7154
26	176755.495
27	174289.4774
28	173559.4487
29	172870.1058
30	170184.3227
31	169591.3
32	168840.1325
33	167539.8752
34	167136.1534
35	164866.532
36	163139.6497
37	162687.3032
38	161973.099
39	160091.2364
40	159132.9017
41	158840.6895
42	158566.645
43	158305.7982
44	156745.761
45	155651.5608
46	154456.6734
47	153687.5036
48	153477.2654
49	152181.0229
50	150909.1497
51	150254.1063
52	149616.8728
53	148953.3944
54	148038.1875
55	147611.9485
56	147078.253
57	146354.635
58	146210.688
59	145646.4226
60	144607.786
61	144491.0681
62	143359.7396
63	142791.427
64	142214.3013
65	141919.1491
66	141452.4935
67	140428.9445
68	139625.9455
69	138561.2851
70	137897.2096
71	137225.4284
72	136176.9166
73	135267.8985
74	134698.8886
75	134001.0519
76	133390.4266
77	132630.6492
78	132062.4809
79	131676.1765
80	130768.1655
81	130235.8482
82	129685.4162
83	129088.1394
84	128529.5446
85	127981.3048
86	127334.5998
87	126815.9767
88	126573.951
89	126278.7292
90	125629.4858
91	125075.1555
92	124673.8239
93	124168.8759
94	123939.3812
95	123438.1876
96	123025.3364
97	122476.3709
98	122005.3016
99	121653.342
