iter	Passed	Remaining
0	160	160278
1	166	83188
2	171	57117
3	176	44041
4	182	36303
5	186	30944
6	191	27156
7	197	24493
8	203	22444
9	208	20675
10	213	19206
11	217	17933
12	220	16767
13	223	15759
14	226	14902
15	230	14175
16	234	13535
17	237	12949
18	242	12500
19	246	12094
20	251	11718
21	254	11316
22	258	10973
23	263	10719
24	267	10416
25	270	10142
26	274	9888
27	277	9631
28	280	9391
29	283	9153
30	285	8930
31	288	8723
32	291	8528
33	293	8344
34	296	8173
35	299	8014
36	301	7859
37	304	7710
38	307	7568
39	309	7434
40	312	7302
41	314	7179
42	320	7125
43	323	7029
44	326	6924
45	328	6820
46	333	6752
47	336	6667
48	338	6577
49	341	6489
50	344	6404
51	346	6310
52	348	6229
53	351	6153
54	353	6078
55	356	6006
56	359	5940
57	360	5857
58	363	5792
59	365	5731
60	368	5670
61	371	5613
62	373	5558
63	375	5484
64	377	5432
65	379	5372
66	382	5323
67	384	5276
68	387	5227
69	391	5203
70	394	5162
71	396	5111
72	397	5052
73	400	5012
74	403	4972
75	405	4932
76	408	4892
77	410	4855
78	413	4818
79	416	4786
80	418	4752
81	421	4717
82	423	4683
83	426	4651
84	429	4621
85	431	4589
86	434	4559
87	436	4528
88	439	4499
89	441	4460
90	443	4433
91	446	4408
92	449	4381
93	451	4353
94	454	4328
95	456	4302
96	459	4280
97	462	4258
98	465	4235
99	467	4209
100	470	4185
101	472	4164
102	475	4140
103	478	4119
104	480	4098
105	483	4076
106	485	4055
107	488	4034
108	490	4013
109	493	3992
110	496	3973
111	498	3954
112	501	3936
113	504	3918
114	506	3898
115	509	3881
116	511	3862
117	514	3847
118	517	3829
119	518	3802
120	520	3784
121	523	3769
122	526	3752
123	528	3736
124	532	3724
125	534	3709
126	536	3688
127	539	3674
128	542	3660
129	544	3646
130	547	3631
131	550	3617
132	552	3602
133	555	3587
134	557	3573
135	560	3559
136	562	3545
137	565	3533
138	568	3521
139	571	3508
140	573	3495
141	576	3483
142	579	3471
143	581	3458
144	584	3446
145	587	3434
146	589	3421
147	592	3408
148	594	3397
149	597	3385
150	599	3373
151	602	3362
152	605	3351
153	608	3340
154	610	3329
155	613	3318
156	615	3307
157	618	3296
158	621	3285
159	623	3275
160	626	3264
161	628	3253
162	631	3242
163	634	3232
164	636	3223
165	639	3212
166	642	3202
167	644	3192
168	647	3182
169	649	3172
170	652	3163
171	655	3153
172	657	3144
173	660	3134
174	662	3124
175	665	3117
176	668	3108
177	671	3099
178	673	3090
179	676	3081
180	678	3072
181	682	3066
182	685	3061
183	689	3055
184	692	3049
185	694	3040
186	697	3031
187	699	3022
188	702	3014
189	705	3005
190	707	2997
191	710	2989
192	712	2981
193	715	2973
194	718	2965
195	720	2956
196	723	2948
197	725	2940
198	728	2932
199	731	2924
200	733	2916
201	736	2908
202	739	2901
203	741	2894
204	744	2886
205	746	2878
206	749	2871
207	752	2863
208	754	2856
209	757	2848
210	759	2841
211	762	2833
212	764	2826
213	767	2818
214	770	2811
215	772	2804
216	775	2797
217	778	2791
218	780	2783
219	783	2777
220	786	2770
221	788	2764
222	791	2757
223	794	2750
224	797	2746
225	800	2740
226	802	2733
227	805	2727
228	808	2720
229	812	2718
230	814	2712
231	817	2705
232	819	2698
233	822	2692
234	825	2685
235	827	2678
236	830	2672
237	832	2666
238	835	2660
239	838	2654
240	840	2647
241	843	2641
242	846	2635
243	848	2628
244	851	2622
245	853	2617
246	856	2611
247	859	2604
248	861	2598
249	864	2592
250	866	2586
251	869	2581
252	872	2574
253	874	2568
254	877	2563
255	879	2557
256	883	2553
257	887	2550
258	890	2547
259	893	2543
260	896	2538
261	900	2535
262	903	2531
263	906	2526
264	908	2520
265	911	2514
266	913	2509
267	916	2503
268	919	2497
269	921	2492
270	924	2486
271	926	2481
272	929	2475
273	932	2469
274	935	2465
275	938	2460
276	940	2455
277	943	2449
278	945	2444
279	948	2439
280	951	2433
281	953	2428
282	956	2423
283	959	2418
284	962	2413
285	964	2408
286	967	2404
287	970	2399
288	973	2395
289	976	2391
290	979	2387
291	983	2384
292	986	2380
293	989	2376
294	992	2371
295	994	2366
296	997	2361
297	1000	2356
298	1002	2351
299	1005	2346
300	1008	2341
301	1011	2336
302	1014	2333
303	1017	2329
304	1020	2324
305	1022	2319
306	1025	2314
307	1028	2310
308	1030	2305
309	1033	2300
310	1036	2295
311	1038	2290
312	1042	2287
313	1046	2285
314	1048	2281
315	1051	2276
316	1054	2272
317	1057	2267
318	1060	2263
319	1062	2258
320	1065	2253
321	1068	2249
322	1071	2245
323	1073	2240
324	1076	2235
325	1079	2231
326	1081	2226
327	1084	2222
328	1087	2217
329	1089	2212
330	1092	2207
331	1095	2203
332	1097	2198
333	1100	2194
334	1103	2189
335	1105	2185
336	1108	2180
337	1111	2176
338	1113	2171
339	1116	2167
340	1119	2162
341	1121	2158
342	1124	2153
343	1127	2149
344	1129	2145
345	1132	2140
346	1135	2136
347	1137	2131
348	1140	2127
349	1143	2123
350	1146	2118
351	1148	2114
352	1151	2110
353	1153	2105
354	1156	2101
355	1160	2098
356	1163	2095
357	1166	2092
358	1169	2088
359	1173	2086
360	1176	2081
361	1178	2077
362	1181	2073
363	1184	2069
364	1186	2065
365	1189	2061
366	1192	2057
367	1195	2052
368	1198	2048
369	1200	2044
370	1203	2040
371	1205	2035
372	1208	2031
373	1211	2027
374	1214	2023
375	1217	2019
376	1219	2015
377	1222	2011
378	1225	2007
379	1227	2002
380	1230	1998
381	1232	1994
382	1235	1990
383	1238	1986
384	1241	1982
385	1243	1978
386	1246	1974
387	1249	1970
388	1251	1966
389	1254	1961
390	1256	1957
391	1259	1953
392	1261	1949
393	1264	1945
394	1267	1941
395	1269	1936
396	1272	1932
397	1275	1928
398	1278	1925
399	1280	1921
400	1283	1917
401	1285	1912
402	1288	1908
403	1291	1905
404	1294	1901
405	1296	1897
406	1299	1893
407	1302	1889
408	1304	1885
409	1307	1881
410	1310	1877
411	1313	1873
412	1315	1870
413	1318	1866
414	1321	1862
415	1323	1858
416	1326	1854
417	1329	1850
418	1331	1846
419	1334	1842
420	1337	1839
421	1339	1835
422	1342	1831
423	1345	1827
424	1348	1823
425	1350	1820
426	1353	1816
427	1356	1812
428	1359	1808
429	1361	1804
430	1364	1801
431	1366	1797
432	1369	1793
433	1371	1789
434	1374	1785
435	1377	1781
436	1379	1777
437	1382	1774
438	1385	1770
439	1387	1766
440	1390	1762
441	1393	1758
442	1395	1755
443	1398	1751
444	1401	1747
445	1403	1743
446	1407	1741
447	1410	1738
448	1413	1734
449	1416	1730
450	1419	1727
451	1421	1723
452	1424	1719
453	1427	1716
454	1429	1712
455	1432	1708
456	1435	1705
457	1437	1701
458	1440	1697
459	1442	1693
460	1445	1690
461	1448	1686
462	1451	1683
463	1453	1679
464	1456	1675
465	1459	1672
466	1462	1668
467	1464	1665
468	1467	1661
469	1470	1657
470	1472	1654
471	1475	1650
472	1478	1647
473	1480	1643
474	1483	1639
475	1486	1636
476	1488	1632
477	1491	1628
478	1493	1624
479	1496	1620
480	1498	1617
481	1501	1613
482	1504	1610
483	1507	1606
484	1509	1603
485	1512	1599
486	1515	1596
487	1517	1592
488	1520	1588
489	1523	1585
490	1525	1581
491	1528	1578
492	1530	1574
493	1533	1570
494	1537	1568
495	1539	1564
496	1542	1560
497	1544	1557
498	1547	1553
499	1550	1550
500	1552	1546
501	1555	1543
502	1558	1539
503	1560	1536
504	1563	1532
505	1566	1529
506	1569	1525
507	1571	1522
508	1574	1518
509	1577	1515
510	1579	1511
511	1582	1507
512	1584	1504
513	1587	1500
514	1590	1497
515	1592	1494
516	1595	1490
517	1598	1487
518	1601	1483
519	1603	1480
520	1606	1476
521	1608	1473
522	1611	1469
523	1614	1466
524	1616	1462
525	1619	1459
526	1622	1455
527	1624	1452
528	1627	1448
529	1629	1445
530	1632	1441
531	1635	1438
532	1637	1435
533	1640	1431
534	1643	1428
535	1646	1424
536	1648	1421
537	1651	1417
538	1654	1414
539	1656	1411
540	1659	1407
541	1662	1404
542	1664	1401
543	1667	1397
544	1670	1394
545	1672	1390
546	1675	1387
547	1678	1384
548	1681	1381
549	1683	1377
550	1686	1374
551	1689	1370
552	1691	1367
553	1694	1364
554	1697	1360
555	1700	1357
556	1702	1354
557	1705	1350
558	1708	1347
559	1711	1344
560	1713	1340
561	1716	1337
562	1718	1334
563	1721	1330
564	1724	1327
565	1726	1324
566	1730	1321
567	1733	1318
568	1735	1314
569	1738	1311
570	1740	1308
571	1743	1304
572	1746	1301
573	1749	1298
574	1751	1294
575	1754	1291
576	1756	1288
577	1759	1284
578	1762	1281
579	1765	1278
580	1767	1274
581	1770	1271
582	1774	1269
583	1778	1266
